"filename", "language", "Markdown", "XML", "HTML", "JSON", "Java", "YAML", "Java Properties", "comment", "blank", "total"
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\envdatamodel\EnvUnitTest.java", "Java", 0, 0, 0, 0, 45, 0, 0, 9, 18, 72
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\envdatamodel\EnvYearTest.java", "Java", 0, 0, 0, 0, 66, 0, 0, 3, 19, 88
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\envdatamodel\EsgCategoryTest.java", "Java", 0, 0, 0, 0, 27, 0, 0, 3, 7, 37
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\envdatamodel\EsgReportTest.java", "Java", 0, 0, 0, 0, 50, 0, 0, 3, 11, 64
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\export\EditedBudgetExporterTest.java", "Java", 0, 0, 0, 0, 132, 0, 0, 55, 39, 226
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\export\TextReportExporterTest.java", "Java", 0, 0, 0, 0, 50, 0, 0, 0, 27, 77
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\printer\EditsPrinterTest.java", "Java", 0, 0, 0, 0, 42, 0, 0, 14, 18, 74
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\printer\EnvBudgetPrinterTest.java", "Java", 0, 0, 0, 0, 45, 0, 0, 8, 18, 71
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\printer\EsgPrinterTest.java", "Java", 0, 0, 0, 0, 71, 0, 0, 4, 23, 98
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\printer\FullBudgetPrinterTest.java", "Java", 0, 0, 0, 0, 75, 0, 0, 0, 42, 117
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\service\BudgetPercentageServiceTest.java", "Java", 0, 0, 0, 0, 63, 0, 0, 21, 22, 106
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\service\BudgetValidatorTest.java", "Java", 0, 0, 0, 0, 98, 0, 0, 32, 27, 157
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\service\EditsApplierTest.java", "Java", 0, 0, 0, 0, 26, 0, 0, 8, 12, 46
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\service\EnvBudgetLoaderTest.java", "Java", 0, 0, 0, 0, 20, 0, 0, 0, 7, 27
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\service\EnvBudgetTranslatorTest.java", "Java", 0, 0, 0, 0, 24, 0, 0, 1, 6, 31
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\service\EsgClassifierTest.java", "Java", 0, 0, 0, 0, 58, 0, 0, 13, 22, 93
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\service\EsgLoaderTest.java", "Java", 0, 0, 0, 0, 265, 0, 0, 144, 66, 475
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\service\EsgScoreCalculatorTest.java", "Java", 0, 0, 0, 0, 47, 0, 0, 13, 23, 83
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\service\InitialBudgetComparisonTest.java", "Java", 0, 0, 0, 0, 265, 0, 0, 82, 72, 419
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\service\YearToYearBudgetComparisonTest.java", "Java", 0, 0, 0, 0, 68, 0, 0, 27, 22, 117
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\web\EsgWebDisplayTest.java", "Java", 0, 0, 0, 0, 67, 0, 0, 35, 19, 121
"c:\Users\USER\Documents\GitHub\spinnovators\OpenBudget-app\src\test\java\gr\det\spinnovators\web\LoginWebServerTest.java", "Java", 0, 0, 0, 0, 160, 0, 0, 18, 44, 222
"c:\Users\USER\Documents\GitHub\spinnovators\README.md", "Markdown", 770, 0, 0, 0, 0, 0, 0, 0, 213, 983
"Total", "-", 770, 136, 1325, 453, 7000, 19, 26, 2212, 2038, 13979
